ConsumoMensal,Regiao,DiasNoMes,TarifaPorKWh,ClasseDeConsumo,Impostos,ValorConta
147.58,Nordeste,30,0.78,Comercial,17.93,133.04
1435.53,Sul,30,0.57,Residencial,11.37,829.62
1078.71,Nordeste,30,1.19,Industrial,48.29,1331.95
406.37,Norte,30,0.86,Residencial,135.44,484.92
492.92,Norte,30,0.8,Comercial,116.44,510.78
1898.73,Sul,30,1.49,Industrial,139.65,2968.76
1337.94,Centro-Oeste,30,1.32,Industrial,115.41,1881.49
1113.42,Sul,30,0.5,Comercial,184.0,740.71
307.41,Nordeste,30,1.24,Residencial,153.44,534.63
1132.28,Sudeste,30,0.92,Industrial,105.3,1147.0
533.1,Nordeste,30,0.87,Comercial,49.87,513.67
125.98,Sudeste,30,1.06,Residencial,161.4,294.94
993.9,Sudeste,30,1.47,Residencial,47.04,1508.07
1494.24,Sudeste,30,1.33,Industrial,138.98,2126.32
1414.62,Centro-Oeste,30,0.8,Comercial,94.84,1226.54
1696.56,Sudeste,30,1.02,Residencial,148.53,1879.02
791.21,Nordeste,30,1.25,Industrial,184.17,1173.18
156.42,Norte,30,1.01,Industrial,60.8,218.78
537.77,Sudeste,30,1.33,Comercial,11.88,727.11
1151.03,Sul,30,1.35,Industrial,180.14,1734.03
1075.28,Centro-Oeste,30,1.31,Comercial,156.21,1564.83
1549.57,Sudeste,30,0.69,Industrial,36.94,1106.14
1058.71,Norte,30,0.67,Residencial,65.23,774.57
1824.68,Nordeste,30,1.1,Comercial,116.03,2123.18
384.74,Nordeste,30,0.87,Industrial,168.51,503.23
1918.04,Sul,30,1.01,Comercial,91.98,2029.2
1692.49,Sudeste,30,1.3,Industrial,51.94,2252.18
954.77,Sudeste,30,1.13,Comercial,64.1,1142.99
1916.69,Centro-Oeste,30,0.67,Comercial,57.09,1341.27
1136.19,Nordeste,30,0.93,Industrial,57.78,1114.44
1959.05,Nordeste,30,0.55,Industrial,11.9,1089.38
1168.26,Nordeste,30,1.19,Residencial,30.18,1420.41
742.75,Sul,30,1.02,Comercial,91.02,848.62
234.72,Centro-Oeste,30,0.78,Industrial,84.55,267.63
120.62,Nordeste,30,0.72,Industrial,29.03,115.88
53.6,Norte,30,1.22,Comercial,35.43,100.82
289.33,Sul,30,1.34,Industrial,153.68,541.38
108.82,Sudeste,30,0.54,Comercial,11.86,70.62
428.84,Nordeste,30,1.35,Industrial,119.41,698.34
858.01,Sudeste,30,1.19,Residencial,194.59,1215.62
1769.1,Sul,30,0.83,Industrial,157.01,1625.36
1883.79,Sudeste,30,1.26,Industrial,187.16,2560.74
1445.42,Sul,30,0.59,Residencial,60.94,913.74
1532.19,Nordeste,30,0.84,Industrial,45.19,1332.23
725.53,Sul,30,1.27,Residencial,162.42,1083.84
1200.19,Norte,30,1.02,Residencial,182.31,1406.5
317.85,Sul,30,1.49,Industrial,96.47,570.07
925.47,Sul,30,1.18,Industrial,146.2,1238.25
968.58,Sudeste,30,0.96,Residencial,136.01,1065.85
1285.85,Norte,30,1.01,Residencial,187.55,1486.26
239.73,Sul,30,1.39,Industrial,146.88,480.1
591.76,Norte,30,1.5,Comercial,186.36,1074.0
334.62,Centro-Oeste,30,0.79,Industrial,16.11,280.46
84.09,Centro-Oeste,30,1.0,Industrial,37.09,121.18
595.02,Norte,30,0.95,Residencial,127.5,692.77
1032.32,Norte,30,0.98,Residencial,39.39,1051.06
1918.55,Centro-Oeste,30,0.83,Comercial,40.04,1632.44
1587.05,Sudeste,30,1.48,Residencial,185.95,2534.78
983.48,Nordeste,30,0.59,Residencial,19.79,600.04
218.02,Norte,30,0.75,Residencial,18.26,181.78
1351.78,Sul,30,1.45,Comercial,110.91,2070.99
873.08,Centro-Oeste,30,1.2,Residencial,126.23,1173.93
1987.03,Norte,30,1.16,Industrial,28.77,2333.72
221.04,Norte,30,1.45,Comercial,143.17,463.68
1525.36,Sul,30,1.15,Residencial,80.78,1834.94
712.1,Norte,30,0.94,Comercial,64.7,734.07
56.83,Sudeste,30,0.78,Industrial,199.73,244.06
1962.61,Centro-Oeste,30,1.23,Industrial,146.37,2560.38
1498.24,Nordeste,30,0.63,Comercial,115.83,1059.72
1034.54,Nordeste,30,0.97,Industrial,80.85,1084.35
514.49,Sul,30,1.2,Comercial,184.37,801.76
933.42,Nordeste,30,1.5,Comercial,173.93,1574.06
1293.4,Sul,30,1.32,Industrial,82.89,1790.18
443.17,Nordeste,30,0.76,Industrial,143.65,480.46
926.76,Norte,30,1.01,Comercial,143.29,1079.32
399.05,Nordeste,30,0.7,Industrial,93.79,373.12
630.35,Nordeste,30,0.63,Comercial,46.31,443.43
1295.95,Nordeste,30,1.21,Comercial,18.16,1586.26
1777.61,Norte,30,0.75,Comercial,75.23,1408.44
1229.86,Sudeste,30,0.54,Comercial,138.96,803.08
1042.29,Sudeste,30,1.34,Industrial,190.15,1586.82
1790.78,Nordeste,30,0.63,Comercial,43.7,1171.89
1541.72,Nordeste,30,0.75,Industrial,62.61,1218.9
135.97,Centro-Oeste,30,0.83,Residencial,89.83,202.69
274.93,Centro-Oeste,30,0.65,Residencial,175.47,354.17
1232.86,Norte,30,0.55,Industrial,138.49,816.56
1727.59,Sudeste,30,0.69,Residencial,98.42,1290.46
886.14,Nordeste,30,1.28,Residencial,178.08,1312.34
1772.4,Sul,30,1.32,Industrial,198.01,2537.58
137.48,Centro-Oeste,30,1.36,Comercial,10.25,197.22
1159.9,Sudeste,30,1.35,Industrial,97.46,1663.33
823.63,Sul,30,1.44,Industrial,94.89,1280.92
1014.41,Centro-Oeste,30,0.89,Comercial,92.98,995.8
181.09,Sul,30,0.66,Comercial,10.92,130.44
1850.21,Norte,30,0.54,Comercial,155.44,1154.55
914.6,Norte,30,1.18,Residencial,61.41,1140.64
1389.53,Norte,30,0.63,Comercial,160.25,1035.65
1713.55,Norte,30,1.49,Industrial,50.6,2603.79
346.6,Nordeste,30,1.15,Industrial,161.5,560.09
1894.89,Nordeste,30,1.11,Industrial,44.32,2147.65
808.06,Centro-Oeste,30,1.13,Comercial,87.83,1000.94
1224.07,Nordeste,30,1.07,Industrial,133.52,1443.27
1671.5,Sul,30,0.55,Industrial,101.44,1020.77
1580.38,Centro-Oeste,30,0.65,Residencial,149.22,1176.47
1511.57,Norte,30,0.69,Comercial,35.7,1078.68
174.02,Norte,30,1.24,Residencial,35.27,251.05
416.48,Norte,30,0.8,Residencial,137.84,471.02
1424.1,Centro-Oeste,30,1.05,Comercial,195.2,1690.51
959.91,Norte,30,1.34,Residencial,48.59,1334.87
949.57,Centro-Oeste,30,0.79,Residencial,125.96,876.12
60.49,Norte,30,0.55,Residencial,86.55,119.82
1106.38,Centro-Oeste,30,0.53,Comercial,191.94,778.32
881.3,Sul,30,0.96,Industrial,42.22,888.27
150.57,Nordeste,30,0.53,Industrial,91.66,171.46
143.21,Sudeste,30,0.98,Residencial,122.79,263.14
64.33,Sul,30,1.32,Comercial,30.28,115.2
1041.44,Nordeste,30,1.26,Industrial,163.28,1475.49
208.0,Centro-Oeste,30,1.15,Residencial,153.05,392.25
198.63,Sudeste,30,0.64,Industrial,85.75,212.87
574.56,Sul,30,0.97,Comercial,44.81,602.13
1568.48,Nordeste,30,1.35,Comercial,125.21,2242.66
1207.4,Norte,30,0.64,Industrial,51.1,823.84
1682.19,Nordeste,30,1.1,Industrial,108.57,1958.98
1552.85,Centro-Oeste,30,1.21,Industrial,174.59,2053.54
266.38,Sul,30,1.1,Industrial,128.01,421.03
366.28,Sul,30,1.48,Industrial,124.74,666.83
299.17,Sul,30,1.08,Industrial,147.8,470.9
68.12,Centro-Oeste,30,1.24,Residencial,95.9,180.37
266.29,Nordeste,30,0.83,Residencial,127.94,348.96
1553.23,Sul,30,1.27,Residencial,138.96,2111.56
1914.91,Sul,30,0.8,Comercial,117.58,1649.51
190.86,Sudeste,30,1.15,Industrial,162.98,382.47
1679.4,Norte,30,0.94,Industrial,84.71,1663.35
1399.45,Centro-Oeste,30,1.3,Residencial,27.62,1846.9
1640.9,Norte,30,0.88,Comercial,184.54,1628.53
1755.27,Norte,30,0.87,Comercial,48.8,1575.88
325.77,Sudeste,30,0.54,Residencial,40.12,216.04
1054.59,Norte,30,0.87,Comercial,188.09,1105.58
568.84,Sudeste,30,1.25,Residencial,109.5,820.55
603.31,Centro-Oeste,30,1.23,Industrial,144.24,886.31
1876.41,Sudeste,30,1.02,Industrial,121.11,2035.05
930.63,Norte,30,1.44,Industrial,165.59,1505.7
1842.06,Norte,30,1.19,Industrial,187.08,2379.13
1321.07,Centro-Oeste,30,1.21,Residencial,32.01,1630.5
594.92,Sudeste,30,0.59,Industrial,63.3,414.3
565.06,Sudeste,30,0.97,Comercial,187.87,735.98
325.35,Sudeste,30,0.91,Residencial,194.16,490.23
634.84,Norte,30,0.74,Comercial,34.53,504.31
1879.49,Sudeste,30,1.09,Comercial,113.27,2161.91
1337.9,Sudeste,30,0.86,Industrial,35.47,1186.06
1082.97,Centro-Oeste,30,0.56,Residencial,11.25,617.71
1543.69,Centro-Oeste,30,1.49,Residencial,99.37,2399.47
1117.19,Norte,30,1.08,Residencial,140.09,1346.66
226.49,Sudeste,30,1.06,Residencial,72.77,312.85
1690.33,Centro-Oeste,30,0.72,Comercial,139.21,1356.25
1811.63,Nordeste,30,0.51,Industrial,128.06,1051.99
1300.39,Norte,30,1.31,Comercial,191.28,1894.79
838.35,Nordeste,30,0.5,Residencial,107.73,526.9
512.61,Centro-Oeste,30,1.3,Comercial,127.79,794.18
1214.69,Nordeste,30,0.87,Residencial,129.92,1186.7
112.52,Sudeste,30,1.35,Residencial,131.93,283.83
758.08,Sul,30,0.81,Industrial,63.95,677.99
1174.93,Centro-Oeste,30,0.85,Residencial,98.23,1096.92
1763.53,Nordeste,30,0.84,Residencial,97.38,1578.75
333.43,Sudeste,30,0.72,Industrial,176.98,417.05
713.72,Norte,30,1.42,Comercial,26.13,1039.61
943.45,Norte,30,1.22,Residencial,40.55,1191.56
867.87,Sul,30,1.17,Comercial,119.05,1134.46
1570.56,Norte,30,1.15,Residencial,44.33,1850.47
491.18,Sudeste,30,1.25,Industrial,127.21,741.19
1359.04,Norte,30,0.59,Comercial,119.2,921.03
710.67,Norte,30,1.47,Comercial,90.53,1135.21
1911.72,Sul,30,1.41,Comercial,120.94,2816.47
1537.88,Nordeste,30,1.24,Comercial,138.71,2045.68
210.12,Nordeste,30,0.66,Residencial,61.12,199.8
503.82,Sudeste,30,0.92,Comercial,197.64,661.15
1974.46,Norte,30,0.75,Industrial,132.87,1613.72
715.73,Sul,30,1.5,Industrial,137.88,1211.47
1696.4,Nordeste,30,0.8,Residencial,170.59,1527.71
405.17,Sudeste,30,1.09,Comercial,40.92,482.56
1058.9,Sul,30,0.62,Comercial,19.4,675.92
1986.01,Norte,30,0.79,Comercial,10.7,1579.65
489.12,Nordeste,30,1.3,Comercial,66.78,702.64
80.51,Norte,30,1.08,Industrial,83.13,170.08
62.84,Nordeste,30,0.54,Industrial,82.73,116.66
1723.12,Sudeste,30,0.89,Comercial,138.15,1671.73
1289.0,Norte,30,0.77,Comercial,19.42,1011.95
1146.19,Norte,30,0.62,Industrial,109.24,819.88
1374.13,Norte,30,1.26,Comercial,130.97,1862.37
495.06,Sul,30,0.55,Residencial,185.46,457.74
632.65,Nordeste,30,0.75,Comercial,93.31,567.8
947.68,Nordeste,30,0.56,Industrial,178.86,709.56
1971.89,Nordeste,30,1.0,Industrial,194.16,2166.05
